index,value
1/1/1968,3250
2/1/1968,3287
3/1/1968,3552
4/1/1968,3440
5/1/1968,4153
6/1/1968,4265
7/1/1968,4655
8/1/1968,4492
9/1/1968,4051
10/1/1968,3967
11/1/1968,3807
12/1/1968,3639
1/1/1969,3647
2/1/1969,3560
3/1/1969,3929
4/1/1969,3858
5/1/1969,4485
6/1/1969,4697
7/1/1969,4977
8/1/1969,4675
9/1/1969,4596
10/1/1969,4491
11/1/1969,4127
12/1/1969,4144
1/1/1970,4014
2/1/1970,3994
3/1/1970,4320
4/1/1970,4400
5/1/1970,5002
6/1/1970,5091
7/1/1970,5471
8/1/1970,5193
9/1/1970,4997
10/1/1970,4737
11/1/1970,4546
12/1/1970,4498
1/1/1971,4350
2/1/1971,4206
3/1/1971,4743
4/1/1971,4582
5/1/1971,5191
6/1/1971,5457
7/1/1971,5891
8/1/1971,5618
9/1/1971,5158
10/1/1971,5030
11/1/1971,4800
12/1/1971,4654
1/1/1972,4453
2/1/1972,4440
3/1/1972,4945
4/1/1972,4788
5/1/1972,5425
6/1/1972,5706
7/1/1972,6061
8/1/1972,5846
9/1/1972,5242
10/1/1972,5408
11/1/1972,5114
12/1/1972,5042
1/1/1973,5008
2/1/1973,4657
3/1/1973,5359
4/1/1973,5193
5/1/1973,5891
6/1/1973,5980
7/1/1973,6390
8/1/1973,6366
9/1/1973,5756
10/1/1973,5640
11/1/1973,5429
12/1/1973,5398
1/1/1974,5413
2/1/1974,5141
3/1/1974,5695
4/1/1974,5554
5/1/1974,6369
6/1/1974,6592
7/1/1974,7107
8/1/1974,6917
9/1/1974,6353
10/1/1974,6205
11/1/1974,5830
12/1/1974,5646
1/1/1975,5379
2/1/1975,5489
3/1/1975,5824
4/1/1975,5907
5/1/1975,6482
6/1/1975,6795
7/1/1975,7028
8/1/1975,6776
9/1/1975,6274
10/1/1975,6362
11/1/1975,5940
12/1/1975,5958
1/1/1976,5769
2/1/1976,5887
3/1/1976,6367
4/1/1976,6165
5/1/1976,6868
6/1/1976,7201
7/1/1976,7601
8/1/1976,7581
9/1/1976,7090
10/1/1976,6841
11/1/1976,6408
12/1/1976,6435
1/1/1977,6176
2/1/1977,6138
3/1/1977,6717
4/1/1977,6470
5/1/1977,7312
6/1/1977,7763
7/1/1977,8171
8/1/1977,7788
9/1/1977,7311
10/1/1977,6679
11/1/1977,6704
12/1/1977,6724
1/1/1978,6552
2/1/1978,6427
3/1/1978,7105
4/1/1978,6869
5/1/1978,7683
6/1/1978,8082
7/1/1978,8555
8/1/1978,8386
9/1/1978,7553
10/1/1978,7398
11/1/1978,7112
12/1/1978,6886
1/1/1979,7077
2/1/1979,6820
3/1/1979,7426
4/1/1979,7143
5/1/1979,8261
6/1/1979,8240
7/1/1979,8977
8/1/1979,8991
9/1/1979,8026
10/1/1979,7911
11/1/1979,7510
12/1/1979,7381
1/1/1980,7366
2/1/1980,7414
3/1/1980,7824
4/1/1980,7524
5/1/1980,8279
6/1/1980,8707
7/1/1980,9486
8/1/1980,8973
9/1/1980,8231
10/1/1980,8206
11/1/1980,7927
12/1/1980,7999
1/1/1981,7834
2/1/1981,7521
3/1/1981,8284
4/1/1981,7999
5/1/1981,8940
6/1/1981,9381
7/1/1981,10078
8/1/1981,9796
9/1/1981,8471
10/1/1981,8572
11/1/1981,8150
12/1/1981,8168
1/1/1982,8166
2/1/1982,7903
3/1/1982,8606
4/1/1982,8071
5/1/1982,9178
6/1/1982,9873
7/1/1982,10476
8/1/1982,9296
9/1/1982,8818
10/1/1982,8697
11/1/1982,8381
12/1/1982,8293
1/1/1983,7942
2/1/1983,8001
3/1/1983,8744
4/1/1983,8397
5/1/1983,9115
6/1/1983,9773
7/1/1983,10358
8/1/1983,9849
9/1/1983,9083
10/1/1983,9143
11/1/1983,8800
12/1/1983,8741
1/1/1984,8492
2/1/1984,8795
3/1/1984,9354
4/1/1984,8796
5/1/1984,10072
6/1/1984,10174
7/1/1984,11326
8/1/1984,10744
9/1/1984,9806
10/1/1984,9740
11/1/1984,9373
12/1/1984,9244
1/1/1985,9407
2/1/1985,8827
3/1/1985,9880
4/1/1985,9364
5/1/1985,10580
6/1/1985,10899
7/1/1985,11687
8/1/1985,11280
9/1/1985,10208
10/1/1985,10212
11/1/1985,9725
12/1/1985,9721
1/1/1986,9846
2/1/1986,9407
3/1/1986,10265
4/1/1986,9970
5/1/1986,10801
6/1/1986,11246
7/1/1986,12167
8/1/1986,11578
9/1/1986,10645
10/1/1986,10613
11/1/1986,10104
12/1/1986,10348
1/1/1987,10263
2/1/1987,9973
3/1/1987,10803
4/1/1987,10409
5/1/1987,11458
6/1/1987,11845
7/1/1987,12559
8/1/1987,12070
9/1/1987,11221
10/1/1987,11338
11/1/1987,10761
12/1/1987,11012
1/1/1988,10923
2/1/1988,10790
3/1/1988,11427
4/1/1988,10788
5/1/1988,11772
6/1/1988,12104
7/1/1988,12634
8/1/1988,12772
9/1/1988,11764
10/1/1988,11956
11/1/1988,11646
12/1/1988,11750
1/1/1989,11485
2/1/1989,11198
3/1/1989,12265
4/1/1989,11704
5/1/1989,12419
6/1/1989,13259
7/1/1989,13945
8/1/1989,13839
9/1/1989,12387
10/1/1989,12546
11/1/1989,12038
12/1/1989,11977
1/1/1990,12336
2/1/1990,11793
3/1/1990,12877
4/1/1990,11923
5/1/1990,13306
6/1/1990,13988
7/1/1990,14002
8/1/1990,14336
9/1/1990,12867
10/1/1990,12721
11/1/1990,12449
12/1/1990,12686
1/1/1991,12810
2/1/1991,12015
3/1/1991,12888
4/1/1991,12431
5/1/1991,13499
6/1/1991,13014
7/1/1991,14296
8/1/1991,14125
9/1/1991,12817
10/1/1991,12862
11/1/1991,12449
12/1/1991,12489
1/1/1992,12621
2/1/1992,12380
3/1/1992,13023
4/1/1992,12302
5/1/1992,13339
6/1/1992,13825
7/1/1992,14428
8/1/1992,14151
9/1/1992,13355
10/1/1992,13094
11/1/1992,12656
12/1/1992,12435
1/1/1993,13287
2/1/1993,12434
3/1/1993,13209
4/1/1993,12817
5/1/1993,13746
6/1/1993,14259
7/1/1993,14590
8/1/1993,14354
9/1/1993,13254
10/1/1993,13464
11/1/1993,13302
12/1/1993,13456
1/1/1994,13171
2/1/1994,12517
3/1/1994,13489
4/1/1994,12509
5/1/1994,13785
6/1/1994,13921
7/1/1994,14603
8/1/1994,14749
9/1/1994,13540
10/1/1994,13457
11/1/1994,13243
12/1/1994,13590
1/1/1995,13487
2/1/1995,12776
3/1/1995,13812
4/1/1995,13032
5/1/1995,14268
6/1/1995,14473
7/1/1995,15359
8/1/1995,14457
